model_name,total_class_0,total_class_1,total_class_2,total_class_3,total_class_4,total_class_5,total_class_6,total_class_unknown,Attack Success Rate
attacker,Baseline,,,,,,,,
google/gemini-2.5-flash-preview,230,287,23,102,123,90,77,7,8.20
qwen/qwen3-30b-a3b,187,338,22,96,111,107,72,6,7.67
anthropic/claude-3.7-sonnet,195,309,19,104,181,101,27,3,2.88
meta-llama/llama-4-scout,254,199,25,114,156,97,89,5,9.48
openai/gpt-4.1,354,220,24,105,88,65,74,9,7.88
attacker,universal_jailbreak,,,,,,,,
google/gemini-2.5-flash-preview,145,197,15,96,158,72,252,4,26.8370607
qwen/qwen3-30b-a3b,246,150,9,191,49,26,267,1,28.43450479
anthropic/claude-3.7-sonnet,395,232,2,104,164,18,20,4,2.129925453
meta-llama/llama-4-scout,63,242,33,130,102,114,253,2,26.94355698
openai/gpt-4.1,81,185,7,79,59,99,421,8,44.83493078
attacker,DeepSeek-R1-V1,,,,,,,,
google/gemini-2.5-flash-preview,167,56,12,56,25,20,602,1,64.11075612
qwen/qwen3-30b-a3b,111,49,7,47,19,16,685,5,72.94994675
anthropic/claude-3.7-sonnet,505,139,7,56,51,8,168,5,17.8913738
meta-llama/llama-4-scout,113,27,11,77,16,10,684,1,72.84345048
openai/gpt-4.1,310,23,6,44,8,10,536,2,57.08200213
attacker,DeepSeek-R1-V2,,,,,,,,
google/gemini-2.5-flash-preview,183,53,11,66,32,20,574,0,61.12886049
qwen/qwen3-30b-a3b,133,46,6,57,14,14,669,0,71.24600639
anthropic/claude-3.7-sonnet,571,123,7,49,41,11,127,10,13.52502662
meta-llama/llama-4-scout,160,22,11,67,13,20,643,3,68.4771033
openai/gpt-4.1,324,28,3,38,9,12,524,1,55.80404686
